,station id,station latitude,station longitude,County
5416,3126,40.74718234,-73.9432635,Queens County
5495,344,40.6851443,-73.95380904,Kings County
5604,3041,40.67890679,-73.94142771,Kings County
5676,3061,40.69622937,-73.94371094,Kings County
5682,3071,40.70538077,-73.94976519,Kings County
5724,322,40.696191999999996,-73.991218,New York
5847,443,40.70853074,-73.96408963,Kings County
5915,3069,40.70411791,-73.94818595,Kings County
5962,3127,40.74966,-73.9521,Queens County
6020,303,40.72362738,-73.99949601,New York
6022,3073,40.70691254,-73.95441667,Kings County
6036,409,40.6906495,-73.95643107,Kings County
6041,3114,40.73165141,-73.96161892,Kings County
6076,3059,40.693398200000004,-73.939877,Kings County
6236,3064,40.69681963,-73.93756926,Kings County
6357,248,40.72185379,-74.00771779,New York
6953,3120,40.741609999999994,-73.96044,New York
7417,239,40.69196566,-73.9813018,Kings County
7735,3056,40.69072549,-73.95133465,Kings County
7964,3163,40.7734066,-73.97782542,New York
8090,232,40.69597683,-73.99014892,Kings County
8113,3048,40.684020000000004,-73.94977,Kings County
8464,3043,40.6814598,-73.934903,Kings County
8832,233,40.69475701363877,-73.99052739143372,Kings County
9183,414,40.70281858,-73.98765762,Kings County
9202,3062,40.69539817,-73.94954908,Kings County
9880,3046,40.682601,-73.938037,Kings County
10449,3053,40.6900815,-73.94791500000001,Kings County
11156,372,40.694528000000005,-73.958089,Kings County
11723,3065,40.70029511,-73.95032283,Kings County
13401,3182,40.686931,-74.016966,New York
14068,3181,40.692609000000004,-74.016398,New York
14213,3165,40.77575319,-73.97603963,New York
18881,3063,40.69527008,-73.95238108,Kings County
21043,2005,40.70531194,-73.97100056,United States
23336,3042,40.6794268,-73.92989109999999,Kings County
53856,3179,40.698617,-73.941342,Kings County
57999,3142,40.761227399999996,-73.96094022,New York
63558,3176,40.77452835,-73.98753759,New York
71360,3128,40.75052534,-73.94594845,Queens County
99431,3132,40.76350532,-73.97109243,New York
100484,3134,40.76312584,-73.96526895,New York
144326,3141,40.76500525,-73.95818491,New York
147491,3159,40.77492513,-73.98266566,New York
168221,2017,40.75022392,-73.97121414,New York
282908,3175,40.77748046,-73.98288594,New York
284146,3139,40.77122923,-73.96432627,New York
287650,3172,40.7785669,-73.97754961,New York
289606,3156,40.76663814,-73.95348296,New York
327866,3160,40.77896784,-73.97374737,New York
333480,3178,40.78414472,-73.98362492,New York
334593,3135,40.77112927,-73.95772297,New York
369667,3221,40.743,-73.93561,Queens County
370521,3140,40.77140426,-73.9535166,New York
389009,3149,40.77517793,-73.95324922,New York
393067,3170,40.78499979,-73.97283406,New York
422476,3169,40.78720869,-73.98128127,New York
504047,3147,40.77801203,-73.95407149,New York
510904,3177,40.7867947,-73.977112,New York
519139,3150,40.77536905,-73.94803392,New York
555862,3146,40.77573034,-73.9567526,New York
556312,3144,40.77677702,-73.95900970000001,New York
558769,3136,40.76650452,-73.97147595,New York
564832,3145,40.77862688,-73.95772073,New York
600313,3148,40.77565541,-73.95068615,New York
603418,3164,40.7770575,-73.97898475,New York
732976,395,40.68807003,-73.98410637,Kings County
840556,3166,40.780577990103346,-73.98562431335448,New York
933511,3082,40.71167351,-73.95141312,Kings County
941377,3085,40.714690000000004,-73.95739,Kings County
943956,3080,40.709340000000005,-73.95608,Kings County
999549,3231,40.76780080148132,-73.96592080593109,New York
1010786,3077,40.70877084,-73.95095259,New York
1061112,3230,40.751283596962296,-73.99692445993422,New York
1169172,3167,40.779668090073116,-73.98093044757842,New York
1223342,3226,40.78275,-73.97137,New York
1225794,3137,40.77282817,-73.96685276,New York
1244298,3232,40.68962188790333,-73.98304268717766,Kings County
